StateAb,DivisionId,DivisionNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition(0 for TPP candidates),ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercentage
ACT,318,Bean,0,,,First Preferences,,0,41076,LP,Liberal,LAMERTON,David,1,23665,35.950
ACT,318,Bean,0,,,First Preferences,,0,40676,ALP,Australian Labor Party,SMITH,David,4,42158,64.050
ACT,318,Bean,41682,IND,Independent,PRICE,Jessie,2,41076,LP,Liberal,LAMERTON,David,1,7049,25.990
ACT,318,Bean,41682,IND,Independent,PRICE,Jessie,2,40676,ALP,Australian Labor Party,SMITH,David,4,20071,74.010
ACT,318,Bean,41436,GRN,Australian Greens,CARTER,Sam,3,41076,LP,Liberal,LAMERTON,David,1,825,8.460
ACT,318,Bean,41436,GRN,Australian Greens,CARTER,Sam,3,40676,ALP,Australian Labor Party,SMITH,David,4,8932,91.540
ACT,101,Canberra,0,,,First Preferences,,0,41077,LP,Liberal,ROCHE,Will,4,17101,27.480
ACT,101,Canberra,0,,,First Preferences,,0,40677,ALP,Australian Labor Party,PAYNE,Alicia,5,45133,72.520
ACT,101,Canberra,41390,GRN,Australian Greens,MUDFORD,Isabel,1,41077,LP,Liberal,ROCHE,Will,4,849,4.590
ACT,101,Canberra,41390,GRN,Australian Greens,MUDFORD,Isabel,1,40677,ALP,Australian Labor Party,PAYNE,Alicia,5,17655,95.410
ACT,101,Canberra,41742,IMO,HEART Party,LIDDICOAT,Mary-Jane,2,41077,LP,Liberal,ROCHE,Will,4,826,67.590
ACT,101,Canberra,41742,IMO,HEART Party,LIDDICOAT,Mary-Jane,2,40677,ALP,Australian Labor Party,PAYNE,Alicia,5,396,32.410
ACT,101,Canberra,41696,IND,Independent,MILES,Claire,3,41077,LP,Liberal,ROCHE,Will,4,2937,28.830
ACT,101,Canberra,41696,IND,Independent,MILES,Claire,3,40677,ALP,Australian Labor Party,PAYNE,Alicia,5,7250,71.170
ACT,101,Canberra,41706,AJP,AJP,McTAGGART,Teresa,6,41077,LP,Liberal,ROCHE,Will,4,314,24.960
ACT,101,Canberra,41706,AJP,AJP,McTAGGART,Teresa,6,40677,ALP,Australian Labor Party,PAYNE,Alicia,5,944,75.040
NSW,108,Bradfield,0,,,First Preferences,,0,41324,ALP,Labor,McCALLUM,Louise,4,22768,34.790
NSW,108,Bradfield,0,,,First Preferences,,0,41464,LP,Liberal,KAPTERIAN,Gisele,6,42676,65.210
NSW,108,Bradfield,42097,LTP,Libertarian,GUNNING,Samuel Joseph,1,41324,ALP,Labor,McCALLUM,Louise,4,823,59.810
NSW,108,Bradfield,42097,LTP,Libertarian,GUNNING,Samuel Joseph,1,41464,LP,Liberal,KAPTERIAN,Gisele,6,553,40.190
NSW,108,Bradfield,41511,GRN,The Greens,SINGH,Harjit,2,41324,ALP,Labor,McCALLUM,Louise,4,4598,60.890
NSW,108,Bradfield,41511,GRN,The Greens,SINGH,Harjit,2,41464,LP,Liberal,KAPTERIAN,Gisele,6,2953,39.110
NSW,108,Bradfield,41989,IND,Independent,YIN,Andy,3,41324,ALP,Labor,McCALLUM,Louise,4,2792,60.240
NSW,108,Bradfield,41989,IND,Independent,YIN,Andy,3,41464,LP,Liberal,KAPTERIAN,Gisele,6,1843,39.760
NSW,108,Bradfield,41891,ON,Pauline Hanson's One Nation,MANTON,John,5,41324,ALP,Labor,McCALLUM,Louise,4,1013,58.720
NSW,108,Bradfield,41891,ON,Pauline Hanson's One Nation,MANTON,John,5,41464,LP,Liberal,KAPTERIAN,Gisele,6,712,41.280
NSW,108,Bradfield,36047,IND,Independent,BOELE,Nicolette,7,41324,ALP,Labor,McCALLUM,Louise,4,17861,58.930
NSW,108,Bradfield,36047,IND,Independent,BOELE,Nicolette,7,41464,LP,Liberal,KAPTERIAN,Gisele,6,12448,41.070
NSW,108,Bradfield,41790,CYA,Trumpet of Patriots,MULLIGAN,Rosemary,8,41324,ALP,Labor,McCALLUM,Louise,4,689,59.290
NSW,108,Bradfield,41790,CYA,Trumpet of Patriots,MULLIGAN,Rosemary,8,41464,LP,Liberal,KAPTERIAN,Gisele,6,473,40.710
NSW,109,Calare,0,,,First Preferences,,0,41345,ALP,Labor,CUNNINGHAM,Julie,9,11086,25.990
NSW,109,Calare,0,,,First Preferences,,0,42037,NP,The Nationals,FARRAWAY,Sam,10,31577,74.010
NSW,109,Calare,41902,ON,Pauline Hanson's One Nation,HUGHES,Jennifer,1,41345,ALP,Labor,CUNNINGHAM,Julie,9,1838,22.410
NSW,109,Calare,41902,ON,Pauline Hanson's One Nation,HUGHES,Jennifer,1,42037,NP,The Nationals,FARRAWAY,Sam,10,6362,77.590
NSW,109,Calare,41931,HMP,Legalise Cannabis Party,RAYE,Sue,2,41345,ALP,Labor,CUNNINGHAM,Julie,9,2347,56.390
NSW,109,Calare,41931,HMP,Legalise Cannabis Party,RAYE,Sue,2,42037,NP,The Nationals,FARRAWAY,Sam,10,1815,43.610
NSW,109,Calare,35951,IND,Independent,HOOK,Kate,3,41345,ALP,Labor,CUNNINGHAM,Julie,9,11227,67.000
NSW,109,Calare,35951,IND,Independent,HOOK,Kate,3,42037,NP,The Nationals,FARRAWAY,Sam,10,5529,33.000
NSW,109,Calare,41770,CYA,Trumpet of Patriots,O'LEARY,Vicki Elizabeth,4,41345,ALP,Labor,CUNNINGHAM,Julie,9,454,28.680
NSW,109,Calare,41770,CYA,Trumpet of Patriots,O'LEARY,Vicki Elizabeth,4,42037,NP,The Nationals,FARRAWAY,Sam,10,1129,71.320
NSW,109,Calare,41518,GRN,The Greens,PARKER,Ben,5,41345,ALP,Labor,CUNNINGHAM,Julie,9,3018,80.420
NSW,109,Calare,41518,GRN,The Greens,PARKER,Ben,5,42037,NP,The Nationals,FARRAWAY,Sam,10,735,19.580
NSW,109,Calare,41678,FFPA,Family First,HAZELTON,Ross Angus,6,41345,ALP,Labor,CUNNINGHAM,Julie,9,365,21.060
NSW,109,Calare,41678,FFPA,Family First,HAZELTON,Ross Angus,6,42037,NP,The Nationals,FARRAWAY,Sam,10,1368,78.940
NSW,109,Calare,36348,IND,Independent,GEE,Andrew,7,41345,ALP,Labor,CUNNINGHAM,Julie,9,8961,35.600
NSW,109,Calare,36348,IND,Independent,GEE,Andrew,7,42037,NP,The Nationals,FARRAWAY,Sam,10,16211,64.400
NSW,109,Calare,41649,ASP,Shooters, Fishers and Farmers Party,LESAGE,Jase,8,41345,ALP,Labor,CUNNINGHAM,Julie,9,813,36.210
NSW,109,Calare,41649,ASP,Shooters, Fishers and Farmers Party,LESAGE,Jase,8,42037,NP,The Nationals,FARRAWAY,Sam,10,1432,63.790
NSW,113,Cowper,0,,,First Preferences,,0,41332,ALP,Labor,VIGORS,Greg,1,12713,23.740
NSW,113,Cowper,0,,,First Preferences,,0,41937,NP,The Nationals,CONAGHAN,Pat,5,40836,76.260
NSW,113,Cowper,41718,IND,Independent,DALEY,Zeke,2,41332,ALP,Labor,VIGORS,Greg,1,465,52.130
NSW,113,Cowper,41718,IND,Independent,DALEY,Zeke,2,41937,NP,The Nationals,CONAGHAN,Pat,5,427,47.870
NSW,113,Cowper,41443,HMP,Legalise Cannabis Party,MATHEW,Megan,3,41332,ALP,Labor,VIGORS,Greg,1,2535,48.660
NSW,113,Cowper,41443,HMP,Legalise Cannabis Party,MATHEW,Megan,3,41937,NP,The Nationals,CONAGHAN,Pat,5,2675,51.340
NSW,113,Cowper,41775,CYA,Trumpet of Patriots,SHANNON,Geoffrey,4,41332,ALP,Labor,VIGORS,Greg,1,429,27.660
NSW,113,Cowper,41775,CYA,Trumpet of Patriots,SHANNON,Geoffrey,4,41937,NP,The Nationals,CONAGHAN,Pat,5,1122,72.340
NSW,113,Cowper,41689,LTP,Libertarian,TEMPLETON,Paul,6,41332,ALP,Labor,VIGORS,Greg,1,362,25.800
NSW,113,Cowper,41689,LTP,Libertarian,TEMPLETON,Paul,6,41937,NP,The Nationals,CONAGHAN,Pat,5,1041,74.200
NSW,113,Cowper,41798,FFPA,Family First,JACKEL,Peter,7,41332,ALP,Labor,VIGORS,Greg,1,297,16.050
NSW,113,Cowper,41798,FFPA,Family First,JACKEL,Peter,7,41937,NP,The Nationals,CONAGHAN,Pat,5,1554,83.950
NSW,113,Cowper,41528,GRN,The Greens,FIREFLY,Wendy,8,41332,ALP,Labor,VIGORS,Greg,1,3671,80.650
NSW,113,Cowper,41528,GRN,The Greens,FIREFLY,Wendy,8,41937,NP,The Nationals,CONAGHAN,Pat,5,881,19.350
NSW,113,Cowper,36245,IND,Independent,HEISE,Caz,9,41332,ALP,Labor,VIGORS,Greg,1,22477,71.090
NSW,113,Cowper,36245,IND,Independent,HEISE,Caz,9,41937,NP,The Nationals,CONAGHAN,Pat,5,9139,28.910
NSW,113,Cowper,41860,SOPA,FUSION | Planet Rescue | Whistleblower Protection | Innovation,MARLOW,Geoffrey,10,41332,ALP,Labor,VIGORS,Greg,1,138,54.120
NSW,113,Cowper,41860,SOPA,FUSION | Planet Rescue | Whistleblower Protection | Innovation,MARLOW,Geoffrey,10,41937,NP,The Nationals,CONAGHAN,Pat,5,117,45.880
NSW,113,Cowper,41876,ON,Pauline Hanson's One Nation,WALSH,Chris,11,41332,ALP,Labor,VIGORS,Greg,1,1002,14.610
NSW,113,Cowper,41876,ON,Pauline Hanson's One Nation,WALSH,Chris,11,41937,NP,The Nationals,CONAGHAN,Pat,5,5854,85.390
NSW,118,Farrer,0,,,First Preferences,,0,41463,LP,Liberal,LEY,Sussan,1,44743,74.210
NSW,118,Farrer,0,,,First Preferences,,0,41352,ALP,Labor,HYDE,Glen,2,15551,25.790
NSW,118,Farrer,40627,IND,Independent,MILTHORPE,Michelle,3,41463,LP,Liberal,LEY,Sussan,1,7432,36.140
NSW,118,Farrer,40627,IND,Independent,MILTHORPE,Michelle,3,41352,ALP,Labor,HYDE,Glen,2,13135,63.860
NSW,118,Farrer,41559,GRN,The Greens,HENDRIE,Richard August,4,41463,LP,Liberal,LEY,Sussan,1,840,16.520
NSW,118,Farrer,41559,GRN,The Greens,HENDRIE,Richard August,4,41352,ALP,Labor,HYDE,Glen,2,4245,83.480
NSW,118,Farrer,41959,ON,Pauline Hanson's One Nation,HICKS,Emma,5,41463,LP,Liberal,LEY,Sussan,1,5052,74.260
NSW,118,Farrer,41959,ON,Pauline Hanson's One Nation,HICKS,Emma,5,41352,ALP,Labor,HYDE,Glen,2,1751,25.740
NSW,118,Farrer,41644,ASP,Shooters, Fishers and Farmers Party,SINCLAIR,Peter,6,41463,LP,Liberal,LEY,Sussan,1,2148,60.050
NSW,118,Farrer,41644,ASP,Shooters, Fishers and Farmers Party,SINCLAIR,Peter,6,41352,ALP,Labor,HYDE,Glen,2,1429,39.950
NSW,118,Farrer,42016,GRPF,Gerard Rennick People First,O'REILLY,David,7,41463,LP,Liberal,LEY,Sussan,1,1654,79.600
NSW,118,Farrer,42016,GRPF,Gerard Rennick People First,O'REILLY,David,7,41352,ALP,Labor,HYDE,Glen,2,424,20.400
NSW,118,Farrer,41793,FFPA,Family First,SCRIVEN,Rebecca,8,41463,LP,Liberal,LEY,Sussan,1,1506,67.900
NSW,118,Farrer,41793,FFPA,Family First,SCRIVEN,Rebecca,8,41352,ALP,Labor,HYDE,Glen,2,712,32.100
NSW,118,Farrer,41707,CYA,Trumpet of Patriots,HARGRAVES,Tanya,9,41463,LP,Liberal,LEY,Sussan,1,1437,58.870
NSW,118,Farrer,41707,CYA,Trumpet of Patriots,HARGRAVES,Tanya,9,41352,ALP,Labor,HYDE,Glen,2,1004,41.130
NSW,119,Fowler,0,,,First Preferences,,0,41357,ALP,Labor,LE,Tu,6,34909,75.380
NSW,119,Fowler,0,,,First Preferences,,0,41460,LP,Liberal,SINGHA,Vivek,7,11404,24.620
NSW,119,Fowler,41806,FFPA,Family First,ATHAVLE,Jared,1,41357,ALP,Labor,LE,Tu,6,2507,69.680
NSW,119,Fowler,41806,FFPA,Family First,ATHAVLE,Jared,1,41460,LP,Liberal,SINGHA,Vivek,7,1091,30.320
NSW,119,Fowler,41641,LTP,Libertarian,TEY,Victor,2,41357,ALP,Labor,LE,Tu,6,770,42.870
NSW,119,Fowler,41641,LTP,Libertarian,TEY,Victor,2,41460,LP,Liberal,SINGHA,Vivek,7,1026,57.130
NSW,119,Fowler,36240,IND,Independent,LE,Dai,3,41357,ALP,Labor,LE,Tu,6,18117,58.240
NSW,119,Fowler,36240,IND,Independent,LE,Dai,3,41460,LP,Liberal,SINGHA,Vivek,7,12991,41.760
NSW,119,Fowler,41556,GRN,The Greens,HOWARD,Avery Jacob,4,41357,ALP,Labor,LE,Tu,6,5466,86.930
NSW,119,Fowler,41556,GRN,The Greens,HOWARD,Avery Jacob,4,41460,LP,Liberal,SINGHA,Vivek,7,822,13.070
NSW,119,Fowler,41956,ON,Pauline Hanson's One Nation,MARGOS,Tony,5,41357,ALP,Labor,LE,Tu,6,1602,41.770
NSW,119,Fowler,41956,ON,Pauline Hanson's One Nation,MARGOS,Tony,5,41460,LP,Liberal,SINGHA,Vivek,7,2233,58.230
NSW,121,Grayndler,0,,,First Preferences,,0,41472,LP,Liberal,SMALLBONE,David,2,15867,21.090
NSW,121,Grayndler,0,,,First Preferences,,0,41373,ALP,Labor,ALBANESE,Anthony,5,59364,78.910
NSW,121,Grayndler,41960,ON,Pauline Hanson's One Nation,SMITH,Rodney,1,41472,LP,Liberal,SMALLBONE,David,2,2958,84.390
NSW,121,Grayndler,41960,ON,Pauline Hanson's One Nation,SMITH,Rodney,1,41373,ALP,Labor,ALBANESE,Anthony,5,547,15.610
NSW,121,Grayndler,41714,CYA,Trumpet of Patriots,BURRELL,Cheri Rae,3,41472,LP,Liberal,SMALLBONE,David,2,1209,69.920
NSW,121,Grayndler,41714,CYA,Trumpet of Patriots,BURRELL,Cheri Rae,3,41373,ALP,Labor,ALBANESE,Anthony,5,520,30.080
NSW,121,Grayndler,41565,GRN,The Greens,THOMAS,Hannah,4,41472,LP,Liberal,SMALLBONE,David,2,1111,3.990
NSW,121,Grayndler,41565,GRN,The Greens,THOMAS,Hannah,4,41373,ALP,Labor,ALBANESE,Anthony,5,26736,96.010
NSW,121,Grayndler,40978,IND,Independent,BRADBURY,David,6,41472,LP,Liberal,SMALLBONE,David,2,836,32.580
NSW,121,Grayndler,40978,IND,Independent,BRADBURY,David,6,41373,ALP,Labor,ALBANESE,Anthony,5,1730,67.420
NSW,126,Hunter,0,,,First Preferences,,0,41944,NP,The Nationals,GILROY,Sue,2,20290,29.460
NSW,126,Hunter,0,,,First Preferences,,0,41407,ALP,Labor,REPACHOLI,Dan,8,48582,70.540
NSW,126,Hunter,41965,ON,Pauline Hanson's One Nation,BONDS,Stuart,1,41944,NP,The Nationals,GILROY,Sue,2,14392,79.910
NSW,126,Hunter,41965,ON,Pauline Hanson's One Nation,BONDS,Stuart,1,41407,ALP,Labor,REPACHOLI,Dan,8,3619,20.090
NSW,126,Hunter,41948,HMP,Legalise Cannabis Party,FENWICK,Andrew David,3,41944,NP,The Nationals,GILROY,Sue,2,2520,44.560
NSW,126,Hunter,41948,HMP,Legalise Cannabis Party,FENWICK,Andrew David,3,41407,ALP,Labor,REPACHOLI,Dan,8,3135,55.440
NSW,126,Hunter,40876,AJP,Animal Justice Party,DAVIES,Victoria,4,41944,NP,The Nationals,GILROY,Sue,2,722,44.320
NSW,126,Hunter,40876,AJP,Animal Justice Party,DAVIES,Victoria,4,41407,ALP,Labor,REPACHOLI,Dan,8,907,55.680
NSW,126,Hunter,41796,FFPA,Family First,FARRELLY,Paul,5,41944,NP,The Nationals,GILROY,Sue,2,1857,70.230
NSW,126,Hunter,41796,FFPA,Family First,FARRELLY,Paul,5,41407,ALP,Labor,REPACHOLI,Dan,8,787,29.770
NSW,126,Hunter,41646,ASP,Shooters, Fishers and Farmers Party,BODDAN,Kyle,6,41944,NP,The Nationals,GILROY,Sue,2,1374,54.810
NSW,126,Hunter,41646,ASP,Shooters, Fishers and Farmers Party,BODDAN,Kyle,6,41407,ALP,Labor,REPACHOLI,Dan,8,1133,45.190
NSW,126,Hunter,41778,CYA,Trumpet of Patriots,WRIGHTSON,Suellen,7,41944,NP,The Nationals,GILROY,Sue,2,2679,65.860
NSW,126,Hunter,41778,CYA,Trumpet of Patriots,WRIGHTSON,Suellen,7,41407,ALP,Labor,REPACHOLI,Dan,8,1389,34.140
NSW,126,Hunter,41634,GRN,The Greens,STOKES,Louise,9,41944,NP,The Nationals,GILROY,Sue,2,1414,17.060
NSW,126,Hunter,41634,GRN,The Greens,STOKES,Louise,9,41407,ALP,Labor,REPACHOLI,Dan,8,6872,82.940
NSW,132,Mackellar,0,,,First Preferences,,0,41830,LP,Liberal,BROWN,James,6,39647,74.600
NSW,132,Mackellar,0,,,First Preferences,,0,41402,ALP,Labor,QUINN,Jeffrey,9,13499,25.400
NSW,132,Mackellar,41968,IND,Independent,COTTON,Lisa,1,41830,LP,Liberal,BROWN,James,6,1519,66.130
NSW,132,Mackellar,41968,IND,Independent,COTTON,Lisa,1,41402,ALP,Labor,QUINN,Jeffrey,9,778,33.870
NSW,132,Mackellar,42046,ON,Pauline Hanson's One Nation,HAYMAN,Brad,2,41830,LP,Liberal,BROWN,James,6,2338,82.760
NSW,132,Mackellar,42046,ON,Pauline Hanson's One Nation,HAYMAN,Brad,2,41402,ALP,Labor,QUINN,Jeffrey,9,487,17.240
NSW,132,Mackellar,41629,GRN,The Greens,HRNJAK,Ethan,3,41830,LP,Liberal,BROWN,James,6,1214,17.700
NSW,132,Mackellar,41629,GRN,The Greens,HRNJAK,Ethan,3,41402,ALP,Labor,QUINN,Jeffrey,9,5644,82.300
NSW,132,Mackellar,41863,LTP,Libertarian,ADDISON,Justin,4,41830,LP,Liberal,BROWN,James,6,1671,85.740
NSW,132,Mackellar,41863,LTP,Libertarian,ADDISON,Justin,4,41402,ALP,Labor,QUINN,Jeffrey,9,278,14.260
NSW,132,Mackellar,41702,CYA,Trumpet of Patriots,ROBERTSON,Amber,5,41830,LP,Liberal,BROWN,James,6,1230,77.460
NSW,132,Mackellar,41702,CYA,Trumpet of Patriots,ROBERTSON,Amber,5,41402,ALP,Labor,QUINN,Jeffrey,9,358,22.540
NSW,132,Mackellar,40647,IND,Independent,SINGH,Mandeep,7,41830,LP,Liberal,BROWN,James,6,408,58.120
NSW,132,Mackellar,40647,IND,Independent,SINGH,Mandeep,7,41402,ALP,Labor,QUINN,Jeffrey,9,294,41.880
NSW,132,Mackellar,37450,IND,Independent,SCAMPS,Sophie,8,41830,LP,Liberal,BROWN,James,6,11987,28.220
NSW,132,Mackellar,37450,IND,Independent,SCAMPS,Sophie,8,41402,ALP,Labor,QUINN,Jeffrey,9,30495,71.780
NSW,136,Newcastle,0,,,First Preferences,,0,41488,LP,Liberal,McPHEE,Asarri,4,20638,29.610
NSW,136,Newcastle,0,,,First Preferences,,0,41422,ALP,Labor,CLAYDON,Sharon,5,49054,70.390
NSW,136,Newcastle,41695,CYA,Trumpet of Patriots,STEFANAC,Jennifer,1,41488,LP,Liberal,McPHEE,Asarri,4,2428,62.890
NSW,136,Newcastle,41695,CYA,Trumpet of Patriots,STEFANAC,Jennifer,1,41422,ALP,Labor,CLAYDON,Sharon,5,1433,37.110
NSW,136,Newcastle,42049,SAL,Socialist Alliance,O'BRIEN,Steve,2,41488,LP,Liberal,McPHEE,Asarri,4,347,20.950
NSW,136,Newcastle,42049,SAL,Socialist Alliance,O'BRIEN,Steve,2,41422,ALP,Labor,CLAYDON,Sharon,5,1309,79.050
NSW,136,Newcastle,41620,GRN,The Greens,McCABE,Charlotte,3,41488,LP,Liberal,McPHEE,Asarri,4,2304,9.580
NSW,136,Newcastle,41620,GRN,The Greens,McCABE,Charlotte,3,41422,ALP,Labor,CLAYDON,Sharon,5,21757,90.420
