StateAb,DivisionId,DivisionNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition(0 for TPP candidates),ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercentage
ACT,101,Canberra,0,,,First Preferences,,0,37211,LP,Liberal,MINSON,Slade,4,20102,32.670
ACT,101,Canberra,0,,,First Preferences,,0,36228,ALP,Australian Labor Party,PAYNE,Alicia,6,41435,67.330
ACT,101,Canberra,36238,UAPP,United Australia Party,SMITH,Catherine,1,37211,LP,Liberal,MINSON,Slade,4,1200,71.130
ACT,101,Canberra,36238,UAPP,United Australia Party,SMITH,Catherine,1,36228,ALP,Australian Labor Party,PAYNE,Alicia,6,487,28.870
ACT,101,Canberra,37456,ON,Pauline Hanson's One Nation,MILES,James,2,37211,LP,Liberal,MINSON,Slade,4,1148,74.980
ACT,101,Canberra,37456,ON,Pauline Hanson's One Nation,MILES,James,2,36228,ALP,Australian Labor Party,PAYNE,Alicia,6,383,25.020
ACT,101,Canberra,32830,IND,Independent,BOHM,Tim,3,37211,LP,Liberal,MINSON,Slade,4,1651,34.600
ACT,101,Canberra,32830,IND,Independent,BOHM,Tim,3,36228,ALP,Australian Labor Party,PAYNE,Alicia,6,3121,65.400
ACT,101,Canberra,36241,GRN,The Greens,HOLLO,Tim,5,37211,LP,Liberal,MINSON,Slade,4,1323,5.800
ACT,101,Canberra,36241,GRN,The Greens,HOLLO,Tim,5,36228,ALP,Australian Labor Party,PAYNE,Alicia,6,21472,94.200
NSW,108,Bradfield,0,,,First Preferences,,0,36826,ALP,Labor,BRIGDEN,David Gordon,2,16902,27.950
NSW,108,Bradfield,0,,,First Preferences,,0,37016,LP,Liberal,FLETCHER,Paul,6,43562,72.050
NSW,108,Bradfield,36047,IND,Independent,BOELE,Nicolette,1,36826,ALP,Labor,BRIGDEN,David Gordon,2,14514,71.860
NSW,108,Bradfield,36047,IND,Independent,BOELE,Nicolette,1,37016,LP,Liberal,FLETCHER,Paul,6,5684,28.140
NSW,108,Bradfield,36362,GRN,The Greens,COUSINS,Martin,3,36826,ALP,Labor,BRIGDEN,David Gordon,2,7454,83.190
NSW,108,Bradfield,36362,GRN,The Greens,COUSINS,Martin,3,37016,LP,Liberal,FLETCHER,Paul,6,1506,16.810
NSW,108,Bradfield,36101,IND,Independent,KITSON,Janine,4,36826,ALP,Labor,BRIGDEN,David Gordon,2,2012,66.670
NSW,108,Bradfield,36101,IND,Independent,KITSON,Janine,4,37016,LP,Liberal,FLETCHER,Paul,6,1006,33.330
NSW,108,Bradfield,36294,UAPP,United Australia Party,FLETCHER,Rob,5,36826,ALP,Labor,BRIGDEN,David Gordon,2,690,27.640
NSW,108,Bradfield,36294,UAPP,United Australia Party,FLETCHER,Rob,5,37016,LP,Liberal,FLETCHER,Paul,6,1806,72.360
NSW,108,Bradfield,37563,ON,Pauline Hanson's One Nation,LOWE,Michael,7,36826,ALP,Labor,BRIGDEN,David Gordon,2,447,28.510
NSW,108,Bradfield,37563,ON,Pauline Hanson's One Nation,LOWE,Michael,7,37016,LP,Liberal,FLETCHER,Paul,6,1121,71.490
NSW,109,Calare,0,,,First Preferences,,0,36799,ALP,Labor,ELLIOTT,Sarah,4,16252,24.110
NSW,109,Calare,0,,,First Preferences,,0,36348,NP,The Nationals,GEE,Andrew,5,51161,75.890
NSW,109,Calare,35951,IND,Independent,HOOK,Kate,1,36799,ALP,Labor,ELLIOTT,Sarah,4,13407,61.240
NSW,109,Calare,35951,IND,Independent,HOOK,Kate,1,36348,NP,The Nationals,GEE,Andrew,5,8484,38.760
NSW,109,Calare,37543,ON,Pauline Hanson's One Nation,WHITTAKER,Stacey,2,36799,ALP,Labor,ELLIOTT,Sarah,4,2532,27.960
NSW,109,Calare,37543,ON,Pauline Hanson's One Nation,WHITTAKER,Stacey,2,36348,NP,The Nationals,GEE,Andrew,5,6525,72.040
NSW,109,Calare,36320,GRN,The Greens,NANKERVIS,Kay,3,36799,ALP,Labor,ELLIOTT,Sarah,4,3767,77.020
NSW,109,Calare,36320,GRN,The Greens,NANKERVIS,Kay,3,36348,NP,The Nationals,GEE,Andrew,5,1124,22.980
NSW,109,Calare,36263,UAPP,United Australia Party,JANNIS,Adam John,6,36799,ALP,Labor,ELLIOTT,Sarah,4,1116,27.440
NSW,109,Calare,36263,UAPP,United Australia Party,JANNIS,Adam John,6,36348,NP,The Nationals,GEE,Andrew,5,2951,72.560
NSW,113,Cowper,0,,,First Preferences,,0,36909,ALP,Labor,McMULLEN,Keith,2,15566,26.170
NSW,113,Cowper,0,,,First Preferences,,0,36342,NP,The Nationals,CONAGHAN,Pat,3,43909,73.830
NSW,113,Cowper,37556,ON,Pauline Hanson's One Nation,ASPIOTIS,Faye,1,36909,ALP,Labor,McMULLEN,Keith,2,2787,30.810
NSW,113,Cowper,37556,ON,Pauline Hanson's One Nation,ASPIOTIS,Faye,1,36342,NP,The Nationals,CONAGHAN,Pat,3,6260,69.190
NSW,113,Cowper,36245,IND,Independent,HEISE,Caz,4,36909,ALP,Labor,McMULLEN,Keith,2,19952,68.310
NSW,113,Cowper,36245,IND,Independent,HEISE,Caz,4,36342,NP,The Nationals,CONAGHAN,Pat,3,9254,31.690
NSW,113,Cowper,36662,LDP,Liberal Democrats,CHASELING,Simon,5,36909,ALP,Labor,McMULLEN,Keith,2,1042,24.140
NSW,113,Cowper,36662,LDP,Liberal Democrats,CHASELING,Simon,5,36342,NP,The Nationals,CONAGHAN,Pat,3,3274,75.860
NSW,113,Cowper,36259,UAPP,United Australia Party,FAIRHALL,Joshua Stephen,6,36909,ALP,Labor,McMULLEN,Keith,2,799,29.880
NSW,113,Cowper,36259,UAPP,United Australia Party,FAIRHALL,Joshua Stephen,6,36342,NP,The Nationals,CONAGHAN,Pat,3,1875,70.120
NSW,113,Cowper,36322,GRN,The Greens,NOTT,Timothy,7,36909,ALP,Labor,McMULLEN,Keith,2,4937,75.740
NSW,113,Cowper,36322,GRN,The Greens,NOTT,Timothy,7,36342,NP,The Nationals,CONAGHAN,Pat,3,1581,24.260
NSW,119,Fowler,0,,,First Preferences,,0,36907,ALP,Labor,KENEALLY,Kristina,1,30973,67.760
NSW,119,Fowler,0,,,First Preferences,,0,37026,LP,Liberal,NGUYEN,Courtney,5,14740,32.240
NSW,119,Fowler,36305,UAPP,United Australia Party,PANICH,Lela Lepa,2,36907,ALP,Labor,KENEALLY,Kristina,1,2678,48.580
NSW,119,Fowler,36305,UAPP,United Australia Party,PANICH,Lela Lepa,2,37026,LP,Liberal,NGUYEN,Courtney,5,2834,51.420
NSW,119,Fowler,36676,LDP,Liberal Democrats,RUNGE,Peter Ronald,3,36907,ALP,Labor,KENEALLY,Kristina,1,732,34.960
