2025 Federal Election House of Representatives Two Candidate Preferred Preference Flow By Party [Event:31496 Phase:FinalResults Generated:2025-06-16T10:39:09 Cycle:194a421d-c559-4a18-a78a-90c7cf2acb4e Created:2025-06-16T10:36:42 Environment:PROD Site:CANBERRA Server:Internal Version:10.11.386.0]
FromPartyGroupID,FromPartyGroupAb,FromPartyGroupNm,FromPartyOrderOfAppearance,ToPartyGroupID,ToPartyDisplayAb,ToPartyGroupNm,ToPartyOrderOfAppearance,TransferVotes,TransferPercentage
2,ALP,Australian Labor Party,1,2,ALP,Australian Labor Party,1,0,0.00
2,ALP,Australian Labor Party,1,4,LP,Liberal,2,38811,14.06
2,ALP,Australian Labor Party,1,49261,LNP,Liberal National Party of Queensland,3,23723,8.59
2,ALP,Australian Labor Party,1,20,NP,The Nationals,4,5804,2.10
2,ALP,Australian Labor Party,1,26,CLP,Country Liberal Party (NT),5,0,0.00
2,ALP,Australian Labor Party,1,37,GRN,The Greens,6,22590,8.18
2,ALP,Australian Labor Party,1,1639881,XEN,Centre Alliance,7,0,0.00
2,ALP,Australian Labor Party,1,100573,KAP,Katter's Australian Party (KAP),8,11971,4.34
2,ALP,Australian Labor Party,1,40,IND,Independent,9,166606,60.34
2,ALP,Australian Labor Party,1,1082,ON,Pauline Hanson's One Nation,10,6603,2.39
4,LP,Liberal,2,2,ALP,Australian Labor Party,1,139114,48.70
4,LP,Liberal,2,4,LP,Liberal,2,0,0.00
4,LP,Liberal,2,49261,LNP,Liberal National Party of Queensland,3,0,0.00
4,LP,Liberal,2,20,NP,The Nationals,4,9782,3.42
4,LP,Liberal,2,26,CLP,Country Liberal Party (NT),5,0,0.00
4,LP,Liberal,2,37,GRN,The Greens,6,40256,14.09
4,LP,Liberal,2,1639881,XEN,Centre Alliance,7,25692,8.99
4,LP,Liberal,2,100573,KAP,Katter's Australian Party (KAP),8,0,0.00
4,LP,Liberal,2,40,IND,Independent,9,70794,24.78
4,LP,Liberal,2,1082,ON,Pauline Hanson's One Nation,10,0,0.00
49261,LNP,Liberal National Party of Queensland,3,2,ALP,Australian Labor Party,1,22944,79.05
49261,LNP,Liberal National Party of Queensland,3,4,LP,Liberal,2,0,0.00
49261,LNP,Liberal National Party of Queensland,3,49261,LNP,Liberal National Party of Queensland,3,0,0.00
49261,LNP,Liberal National Party of Queensland,3,20,NP,The Nationals,4,0,0.00
49261,LNP,Liberal National Party of Queensland,3,26,CLP,Country Liberal Party (NT),5,0,0.00
49261,LNP,Liberal National Party of Queensland,3,37,GRN,The Greens,6,6081,20.95
49261,LNP,Liberal National Party of Queensland,3,1639881,XEN,Centre Alliance,7,0,0.00
49261,LNP,Liberal National Party of Queensland,3,100573,KAP,Katter's Australian Party (KAP),8,0,0.00
49261,LNP,Liberal National Party of Queensland,3,40,IND,Independent,9,0,0.00
49261,LNP,Liberal National Party of Queensland,3,1082,ON,Pauline Hanson's One Nation,10,0,0.00
20,NP,The Nationals,4,2,ALP,Australian Labor Party,1,13184,18.43
20,NP,The Nationals,4,4,LP,Liberal,2,41520,58.04
20,NP,The Nationals,4,49261,LNP,Liberal National Party of Queensland,3,0,0.00
20,NP,The Nationals,4,20,NP,The Nationals,4,0,0.00
20,NP,The Nationals,4,26,CLP,Country Liberal Party (NT),5,0,0.00
20,NP,The Nationals,4,37,GRN,The Greens,6,0,0.00
20,NP,The Nationals,4,1639881,XEN,Centre Alliance,7,0,0.00
20,NP,The Nationals,4,100573,KAP,Katter's Australian Party (KAP),8,0,0.00
20,NP,The Nationals,4,40,IND,Independent,9,0,0.00
20,NP,The Nationals,4,1082,ON,Pauline Hanson's One Nation,10,16829,23.53
37,GRN,The Greens,6,2,ALP,Australian Labor Party,1,1279081,79.93
37,GRN,The Greens,6,4,LP,Liberal,2,126405,7.90
37,GRN,The Greens,6,49261,LNP,Liberal National Party of Queensland,3,45951,2.87
37,GRN,The Greens,6,20,NP,The Nationals,4,19661,1.23
37,GRN,The Greens,6,26,CLP,Country Liberal Party (NT),5,2033,0.13
37,GRN,The Greens,6,37,GRN,The Greens,6,0,0.00
37,GRN,The Greens,6,1639881,XEN,Centre Alliance,7,7795,0.49
37,GRN,The Greens,6,100573,KAP,Katter's Australian Party (KAP),8,3425,0.21
37,GRN,The Greens,6,40,IND,Independent,9,113092,7.07
37,GRN,The Greens,6,1082,ON,Pauline Hanson's One Nation,10,2819,0.18
100573,KAP,Katter's Australian Party (KAP),8,2,ALP,Australian Labor Party,1,4472,35.62
100573,KAP,Katter's Australian Party (KAP),8,4,LP,Liberal,2,0,0.00
100573,KAP,Katter's Australian Party (KAP),8,49261,LNP,Liberal National Party of Queensland,3,8084,64.38
100573,KAP,Katter's Australian Party (KAP),8,20,NP,The Nationals,4,0,0.00
100573,KAP,Katter's Australian Party (KAP),8,26,CLP,Country Liberal Party (NT),5,0,0.00
100573,KAP,Katter's Australian Party (KAP),8,37,GRN,The Greens,6,0,0.00
100573,KAP,Katter's Australian Party (KAP),8,1639881,XEN,Centre Alliance,7,0,0.00
100573,KAP,Katter's Australian Party (KAP),8,100573,KAP,Katter's Australian Party (KAP),8,0,0.00
100573,KAP,Katter's Australian Party (KAP),8,40,IND,Independent,9,0,0.00
100573,KAP,Katter's Australian Party (KAP),8,1082,ON,Pauline Hanson's One Nation,10,0,0.00
40,IND,Independent,9,2,ALP,Australian Labor Party,1,294426,58.13
40,IND,Independent,9,4,LP,Liberal,2,104504,20.63
40,IND,Independent,9,49261,LNP,Liberal National Party of Queensland,3,35450,7.00
40,IND,Independent,9,20,NP,The Nationals,4,26010,5.14
40,IND,Independent,9,26,CLP,Country Liberal Party (NT),5,2811,0.55
40,IND,Independent,9,37,GRN,The Greens,6,7217,1.42
40,IND,Independent,9,1639881,XEN,Centre Alliance,7,0,0.00
40,IND,Independent,9,100573,KAP,Katter's Australian Party (KAP),8,916,0.18
40,IND,Independent,9,40,IND,Independent,9,35153,6.94
40,IND,Independent,9,1082,ON,Pauline Hanson's One Nation,10,0,0.00
1082,ON,Pauline Hanson's One Nation,10,2,ALP,Australian Labor Party,1,244177,25.39
1082,ON,Pauline Hanson's One Nation,10,4,LP,Liberal,2,394309,41.00
1082,ON,Pauline Hanson's One Nation,10,49261,LNP,Liberal National Party of Queensland,3,167470,17.41
1082,ON,Pauline Hanson's One Nation,10,20,NP,The Nationals,4,88510,9.20
1082,ON,Pauline Hanson's One Nation,10,26,CLP,Country Liberal Party (NT),5,6673,0.69
1082,ON,Pauline Hanson's One Nation,10,37,GRN,The Greens,6,10634,1.11
1082,ON,Pauline Hanson's One Nation,10,1639881,XEN,Centre Alliance,7,5458,0.57
1082,ON,Pauline Hanson's One Nation,10,100573,KAP,Katter's Australian Party (KAP),8,5542,0.58
1082,ON,Pauline Hanson's One Nation,10,40,IND,Independent,9,39012,4.06
1082,ON,Pauline Hanson's One Nation,10,1082,ON,Pauline Hanson's One Nation,10,0,0.00
100570,CYA,Trumpet of Patriots,11,2,ALP,Australian Labor Party,1,98934,33.42
100570,CYA,Trumpet of Patriots,11,4,LP,Liberal,2,92899,31.38
100570,CYA,Trumpet of Patriots,11,49261,LNP,Liberal National Party of Queensland,3,61176,20.66
100570,CYA,Trumpet of Patriots,11,20,NP,The Nationals,4,17209,5.81
100570,CYA,Trumpet of Patriots,11,26,CLP,Country Liberal Party (NT),5,0,0.00
100570,CYA,Trumpet of Patriots,11,37,GRN,The Greens,6,3781,1.28
100570,CYA,Trumpet of Patriots,11,1639881,XEN,Centre Alliance,7,2558,0.86
100570,CYA,Trumpet of Patriots,11,100573,KAP,Katter's Australian Party (KAP),8,1708,0.58
100570,CYA,Trumpet of Patriots,11,40,IND,Independent,9,12650,4.27
100570,CYA,Trumpet of Patriots,11,1082,ON,Pauline Hanson's One Nation,10,5161,1.74
1125,FFP,Family First Party Australia,12,2,ALP,Australian Labor Party,1,90619,33.11
1125,FFP,Family First Party Australia,12,4,LP,Liberal,2,88586,32.37
1125,FFP,Family First Party Australia,12,49261,LNP,Liberal National Party of Queensland,3,54187,19.80
1125,FFP,Family First Party Australia,12,20,NP,The Nationals,4,19103,6.98
1125,FFP,Family First Party Australia,12,26,CLP,Country Liberal Party (NT),5,0,0.00
1125,FFP,Family First Party Australia,12,37,GRN,The Greens,6,4010,1.47
1125,FFP,Family First Party Australia,12,1639881,XEN,Centre Alliance,7,2275,0.83
1125,FFP,Family First Party Australia,12,100573,KAP,Katter's Australian Party (KAP),8,1107,0.40
1125,FFP,Family First Party Australia,12,40,IND,Independent,9,10303,3.76
1125,FFP,Family First Party Australia,12,1082,ON,Pauline Hanson's One Nation,10,3491,1.28
367686247,LTP,Libertarian Party,13,2,ALP,Australian Labor Party,1,19842,23.77
367686247,LTP,Libertarian Party,13,4,LP,Liberal,2,34609,41.46
367686247,LTP,Libertarian Party,13,49261,LNP,Liberal National Party of Queensland,3,4011,4.81
367686247,LTP,Libertarian Party,13,20,NP,The Nationals,4,17171,20.57
367686247,LTP,Libertarian Party,13,26,CLP,Country Liberal Party (NT),5,0,0.00
367686247,LTP,Libertarian Party,13,37,GRN,The Greens,6,263,0.32
367686247,LTP,Libertarian Party,13,1639881,XEN,Centre Alliance,7,0,0.00
367686247,LTP,Libertarian Party,13,100573,KAP,Katter's Australian Party (KAP),8,0,0.00
367686247,LTP,Libertarian Party,13,40,IND,Independent,9,6436,7.71
367686247,LTP,Libertarian Party,13,1082,ON,Pauline Hanson's One Nation,10,1142,1.37
1096,HMP,Legalise Cannabis Australia,14,2,ALP,Australian Labor Party,1,101230,54.33
1096,HMP,Legalise Cannabis Australia,14,4,LP,Liberal,2,49430,26.53
1096,HMP,Legalise Cannabis Australia,14,49261,LNP,Liberal National Party of Queensland,3,6506,3.49
1096,HMP,Legalise Cannabis Australia,14,20,NP,The Nationals,4,9958,5.34
1096,HMP,Legalise Cannabis Australia,14,26,CLP,Country Liberal Party (NT),5,0,0.00
